ISO Code 3,Countries/territories,Region,Year of reference,Population group selected,Population in Phase 1 #,Population in Phase 2 #,Population in Phase 3 #,Population in Phase 4 #,Population in Phase 5 #
AFG,Afghanistan,ASIA,2016.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2017.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2018.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2019.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2020.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2021.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2022.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2023.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2024.0,Whole country,False,False,False,True,False
AFG,Afghanistan,ASIA,2025.0,Whole country,False,False,False,True,False
ALB,Albania,MENA,2016.0,,False,False,False,False,False
ALB,Albania,MENA,2017.0,,False,False,False,False,False
ALB,Albania,MENA,2018.0,,False,False,False,False,False
ALB,Albania,MENA,2019.0,,False,False,False,False,False
ALB,Albania,MENA,2020.0,,False,False,False,False,False
ALB,Albania,MENA,2021.0,,False,False,False,False,False
ALB,Albania,MENA,2022.0,,False,False,False,False,False
ALB,Albania,MENA,2023.0,,False,False,False,False,False
ALB,Albania,MENA,2024.0,,False,False,False,False,False
DZA,Algeria,MENA,2016.0,,False,False,False,False,False
DZA,Algeria,MENA,2017.0,,False,False,False,False,False
DZA,Algeria,MENA,2018.0,Refugees,False,False,False,False,False
DZA,Algeria,MENA,2019.0,Refugees,False,False,False,False,False
DZA,Algeria,MENA,2020.0,Refugees,False,False,False,False,False
DZA,Algeria,MENA,2021.0,Refugees,False,False,False,False,False
DZA,Algeria,MENA,2022.0,Refugees,False,True,False,False,False
DZA,Algeria,MENA,2023.0,Refugees,False,True,False,False,False
DZA,Algeria,MENA,2024.0,Refugees,False,True,False,False,False
DZA,Algeria,MENA,2025.0,Refugees,False,False,False,False,False
ASM,American Samoa,LAC,2016.0,,False,False,False,False,False
ASM,American Samoa,LAC,2017.0,,False,False,False,False,False
ASM,American Samoa,LAC,2018.0,,False,False,False,False,False
ASM,American Samoa,LAC,2019.0,,False,False,False,False,False
ASM,American Samoa,LAC,2020.0,,False,False,False,False,False
ASM,American Samoa,LAC,2021.0,,False,False,False,False,False
ASM,American Samoa,LAC,2022.0,,False,False,False,False,False
ASM,American Samoa,LAC,2023.0,,False,False,False,False,False
ASM,American Samoa,LAC,2024.0,,False,False,False,False,False
AGO,Angola,CS AFRICA,2016.0,,False,True,False,False,False
AGO,Angola,CS AFRICA,2017.0,,False,True,False,False,False
AGO,Angola,CS AFRICA,2018.0,,False,False,False,False,False
AGO,Angola,CS AFRICA,2019.0,,False,False,False,True,False
AGO,Angola,CS AFRICA,2020.0,Residents,False,False,False,True,False
AGO,Angola,CS AFRICA,2021.0,,False,False,False,True,False
AGO,Angola,CS AFRICA,2022.0,,False,False,False,True,False
AGO,Angola,CS AFRICA,2023.0,Residents,False,True,False,False,False
AGO,Angola,CS AFRICA,2024.0,,False,False,False,False,False
ARG,Argentina,LAC,2016.0,,False,False,False,False,False
ARG,Argentina,LAC,2017.0,,False,False,False,False,False
ARG,Argentina,LAC,2018.0,,False,False,False,False,False
ARG,Argentina,LAC,2019.0,,False,False,False,False,False
ARG,Argentina,LAC,2020.0,,False,False,False,False,False
ARG,Argentina,LAC,2021.0,,False,False,False,False,False
ARG,Argentina,LAC,2022.0,,False,False,False,False,False
ARG,Argentina,LAC,2023.0,,False,False,False,False,False
ARG,Argentina,LAC,2024.0,,False,False,False,False,False
ARM,Armenia,MENA,2016.0,,False,False,False,False,False
ARM,Armenia,MENA,2017.0,,False,False,False,False,False
ARM,Armenia,MENA,2018.0,,False,False,False,False,False
ARM,Armenia,MENA,2019.0,,False,False,False,False,False
ARM,Armenia,MENA,2020.0,,False,False,False,False,False
ARM,Armenia,MENA,2021.0,,False,False,False,False,False
ARM,Armenia,MENA,2022.0,,False,False,False,False,False
ARM,Armenia,MENA,2023.0,Residents and refugees,False,False,False,False,False
ARM,Armenia,MENA,2024.0,Refugees,False,False,False,False,False
AZE,Azerbaijan,MENA,2016.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2017.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2018.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2019.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2020.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2021.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2022.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2023.0,,False,False,False,False,False
AZE,Azerbaijan,MENA,2024.0,,False,False,False,False,False
BGD,Bangladesh,ASIA,2016.0,Refugees,False,True,False,False,False
BGD,Bangladesh,ASIA,2017.0,Whole country,False,False,False,True,False
BGD,Bangladesh,ASIA,2018.0,Whole country,False,True,False,False,False
BGD,Bangladesh,ASIA,2019.0,Whole country,False,True,False,False,False
BGD,Bangladesh,ASIA,2020.0,Whole country,False,True,False,False,False
BGD,Bangladesh,ASIA,2021.0,Whole country,False,True,False,False,False
BGD,Bangladesh,ASIA,2022.0,Whole country,False,True,False,False,False
BGD,Bangladesh,ASIA,2023.0,Whole country,False,False,False,True,False
BGD,Bangladesh,ASIA,2024.0,Whole country,False,False,False,True,False
BGD,Bangladesh,ASIA,2025.0,Whole country,False,False,False,False,False
BLR,Belarus,MENA,2016.0,,False,False,False,False,False
BLR,Belarus,MENA,2017.0,,False,False,False,False,False
BLR,Belarus,MENA,2018.0,,False,False,False,False,False
BLR,Belarus,MENA,2019.0,,False,False,False,False,False
BLR,Belarus,MENA,2020.0,,False,False,False,False,False
BLR,Belarus,MENA,2021.0,,False,False,False,False,False
BLR,Belarus,MENA,2022.0,,False,False,False,False,False
BLR,Belarus,MENA,2023.0,,False,False,False,False,False
BLR,Belarus,MENA,2024.0,,False,False,False,False,False
BLZ,Belize,LAC,2016.0,,False,False,False,False,False
BLZ,Belize,LAC,2017.0,,False,False,False,False,False
BLZ,Belize,LAC,2018.0,,False,False,False,False,False
BLZ,Belize,LAC,2019.0,,False,False,False,False,False
BLZ,Belize,LAC,2020.0,,False,False,False,False,False
BLZ,Belize,LAC,2021.0,,False,False,False,False,False
BLZ,Belize,LAC,2022.0,,False,False,False,False,False
BLZ,Belize,LAC,2023.0,,False,False,False,False,False
BLZ,Belize,LAC,2024.0,,False,False,False,False,False
BEN,Benin,WEST AFRICA,2016.0,,False,False,False,False,False
BEN,Benin,WEST AFRICA,2017.0,,False,False,False,False,False
BEN,Benin,WEST AFRICA,2018.0,,False,False,False,False,False
BEN,Benin,WEST AFRICA,2019.0,,False,False,False,False,False
BEN,Benin,WEST AFRICA,2020.0,,False,False,False,False,False
BEN,Benin,WEST AFRICA,2021.0,Residents,False,False,True,False,False
BEN,Benin,WEST AFRICA,2022.0,,False,False,False,False,False
BEN,Benin,WEST AFRICA,2023.0,Residents,False,False,False,True,False
BEN,Benin,WEST AFRICA,2024.0,Refugees,False,False,False,False,False
BTN,Bhutan,ASIA,2016.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2017.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2018.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2019.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2020.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2021.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2022.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2023.0,,False,False,False,False,False
BTN,Bhutan,ASIA,2024.0,,False,False,False,False,False
BOL,Bolivia,LAC,2016.0,,False,False,False,False,False
