Country Code,Countries/territories,Region,Year,Population group selected,Population analysed,% pop analysed of tot country pop,Population in Phase 3 or above #,Population in Phase 3 or above %,Population in Phase 1 #,Population in Phase 1 %,Population in Phase 2 #,Population in Phase 2 %,Population in Phase 3 #,Population in Phase 3 %,Population in Phase 4 #,Population in Phase 4 %,Population in Phase 5 #,Population in Phase 5 %,Major Food Crisis,Primary driver,Secondary driver,Tertiary driver,Total country population,Total country GDP (US$),GDP per capita (US$)
AFG,Afghanistan,ASIA,2016,Whole country,26490799.0,0.79,8458268.0,0.31,13280564,0.5013274231554888,4751967.0,0.18,6752721.0,0.25,1705547.0,0.06,0.0,0.0,Y,Conflict/insecurity,,,34700612.0,18116572395.0772,522.082215583898
AGO,Angola,CS AFRICA,2016,,12800000.0,0.4550670848875385,76000.0,0.0059375,11968000,0.935,756000.0,0.0590625,,,,,,,N,Weather extremes,,,29183070.0,52761617225.9253,1807.95294072643
ALB,Albania,MENA,2016,,,,,,,,,,,,,,,,,,,,2876101.0,11988668784.6628,4168.37544462548
ARG,Argentina,LAC,2016,,,,,,,,,,,,,,,,,,,,43900313.0,557532320662.955,12699.9623137756
ARM,Armenia,MENA,2016,,,,,,,,,,,,,,,,,,,,2992300.0,10546136235.5219,3524.42476874707
ASM,American Samoa,LAC,2016,,,,,,,,,,,,,,,,,,,,52245.0,671000000.0,12843.3342903627
AZE,Azerbaijan,MENA,2016,,,,,,,,,,,,,,,,,,,,9757812.0,37866996882.9157,3880.6852276838
BDI,Burundi,EAST AFRICA,2016,Whole country,9351450.0,0.92,2286033.0,0.23,3718556,0.42,3346861.0,0.3578975453004614,1740753.0,0.17,545280.0,0.06,0.0,0.0,Y,Conflict/insecurity,,,11239451.0,2644487776.50077,235.286205393908
BEN,Benin,WEST AFRICA,2016,,,,,,,,,,,,,,,,,,,,11697842.0,11821065853.3838,1010.5338961993
BFA,Burkina Faso,WEST AFRICA,2016,Whole country,18936014.0,1.0,233318.76352572872,0.012321429606343168,16806412.128359016,0.8875369509316489,1896283.1081152563,0.10014161946200802,233318.76352572872,0.012321429606343168,0.0,0.0,0.0,0.0,N,Conflict/insecurity,,,19334856.0,12833363045.3367,663.742364842886
